BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,PanelUpperTriangul,PanelUnderTriangul,PanelCorrectOrder,TileUpperTriangul,TileUnderTriangul,TileCorrectOrder,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,IsDifficult
4.0,5.022222222222222,11.144444444444444,8.102777777777778,32.41111111111111,0.993190330268982,8.0,0.5222222222222223,6.022222222222222,3.9944444444444445,31.955555555555556,0.979230507320395,2.1666666666666665,2.0,1.6666666666666667,2.25,2.25,1.5,2937,32.63333333333333,1.2744699999999995,2.7952801666666667,2.3598914931618005,25424.38101959051,28.972370810969856,2781.1884612740428,1519.9389592570506,-70.85927693721464,2.959531780782984,0.961226661218547,2,False
6.0,2.2444444444444445,22.466666666666665,10.281481481481482,61.68888888888889,0.9935576234788833,15.0,0.14444444444444443,13.488888888888889,4.0311111111111115,60.46666666666667,0.9738725841088046,0.75,0.5,0.75,1.75,2.0,0.5,5588,62.08888888888889,2.0959346666666665,2.6453526666666662,2.3665239682711414,31220.43981855765,3.6982506628779377,4616.443335585315,2612.3069806651074,-1224.4730907219375,3.1223691684949215,0.5784144431355731,3,False
2.0,9.155555555555555,27.68888888888889,18.42222222222222,36.84444444444444,0.9975932611311673,5.0,1.5888888888888888,15.377777777777778,7.295555555555556,36.477777777777774,0.9876654632972321,1.0,0.4,1.0,1.5,2.0,1.0,3324,36.93333333333333,1.9983855,2.646469,2.338281716490695,19574.17782197217,25.35278919255674,3008.7709696854613,2024.4760989425192,-82.79576903684764,3.113188865067148,0.8721422115178169,4,False
2.0,4.7,16.5,10.6,21.2,0.9932326913066112,9.0,0.15555555555555556,12.38888888888889,2.2888888888888888,20.6,0.9651223321186883,1.25,0.75,0.75,4.0,3.75,3.5,1921,21.344444444444445,1.7044373333333327,2.6884816666666658,2.430841469585732,19382.3896602956,56.2051033246148,2376.0582498200874,1085.0706600950405,-131.457589025567,3.1005188763491507,1.092110609490997,6,False
2.0,20.92222222222222,24.177777777777777,22.55,45.1,0.9985239852398524,8.0,0.07777777777777778,18.122222222222224,5.563888888888889,44.51111111111111,0.9854858548585486,0.8333333333333334,0.5,0.5,4.25,3.75,2.5,4065,45.166666666666664,2.0935311666666663,2.745127333333333,2.4028224916954444,26749.669774149224,28.336969003857696,5467.35985487664,2882.5203466339326,-165.76960686013248,3.1615365782517637,0.9333140603423302,7,False
3.0,8.644444444444444,18.08888888888889,13.28888888888889,39.86666666666667,0.9950083194675541,14.0,0.1111111111111111,10.366666666666667,2.776190476190476,38.86666666666667,0.9700499168053245,0.75,0.5,0.75,1.5,1.5,1.0,3606,40.06666666666667,2.1515350000000004,2.6557973333333336,2.3794041322878368,35733.50362654139,13.462777944966597,4115.297311897247,2293.075382811257,-979.288416219825,3.0695017152407753,0.7104683866354202,8,False
1.0,28.9,28.9,28.9,28.9,1.0,9.0,0.24444444444444444,10.977777777777778,3.117283950617284,28.055555555555557,0.9707804690503652,0.8,0.4,0.6,1.0,1.0,0.75,2601,28.9,1.980189,2.6738105,2.4620243478288892,23025.276897080126,33.556264338330635,3614.967669587016,1778.0683900231277,-1398.0197719076978,3.281833311873018,0.8227090474764006,9,False
9.0,0.5111111111111111,9.911111111111111,5.976543209876543,53.78888888888889,0.9879591836734694,16.0,0.3,8.022222222222222,3.2909722222222224,52.65555555555556,0.9671428571428572,1.2,0.6,1.2,2.75,2.5,2.5,4900,54.44444444444444,1.6706365,2.7242356666666665,2.3860966558496104,49770.83556862124,82.39503294819025,4346.796301561582,2385.058163250479,-6108.505805053935,3.2810812729388954,-0.11508327696791643,10,False
9.0,0.9777777777777777,9.011111111111111,3.5518518518518523,31.966666666666665,0.9769100169779287,17.0,0.14444444444444443,7.066666666666666,1.8215686274509804,30.966666666666665,0.9463497453310696,1.0,0.6,0.6,2.25,2.25,1.75,2945,32.72222222222222,1.416839666666667,2.7026288333333333,2.4018574988179657,70013.4404150553,0.3250694003703934,3815.968145784773,2153.6524232901875,-1405.2334107010436,3.212118819102302,0.9644507961555305,11,False
14.0,0.6666666666666666,21.81111111111111,4.717460317460318,66.04444444444445,0.9797263886599638,25.0,0.24444444444444444,7.533333333333333,2.575111111111111,64.37777777777778,0.9550024723916268,1.0,0.5714285714285714,1.0,3.25,3.5,2.5,6067,67.41111111111111,1.5633824999999997,2.7891413333333333,2.3961567696412502,97018.0708941643,25.82872348327072,4562.601587736953,2366.1307619437794,-269.6733242985271,3.193359094263979,1.1036135049205238,12,False
