BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,PanelUpperTriangul,PanelUnderTriangul,PanelCorrectOrder,TileUpperTriangul,TileUnderTriangul,TileCorrectOrder,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,IsDifficult
2.0,6.133333333333334,19.033333333333335,12.583333333333334,25.166666666666668,0.9951669595782073,18.0,0.14444444444444443,5.366666666666666,1.306172839506173,23.511111111111113,0.929701230228471,1.3333333333333333,1.0,1.1666666666666667,2.0,2.0,1.25,2276,25.288888888888888,1.910970166666667,3.160848333333334,2.5676102115148716,23469.351679324755,47.3726425935087,1889.1292107839024,986.664510989318,-338.5320000481725,2.529535795866123,0.35664368028544363,2,False
1.0,43.1,43.1,43.1,43.1,1.0,15.0,0.06666666666666667,6.677777777777778,2.7866666666666666,41.8,0.9698375870069604,1.0,1.0,0.75,1.5,1.75,1.25,3879,43.1,2.3116380000000003,2.8732938333333338,2.557691441028415,29271.384378140538,131.5208705264302,3346.172445350191,1733.641686267251,-319.92225041007805,2.5091081412766973,0.6969902891345043,3,False
1.0,26.655555555555555,26.655555555555555,26.655555555555555,26.655555555555555,0.9864309210526315,11.0,0.2,4.7,2.3505050505050504,25.855555555555554,0.9568256578947368,1.0,0.8,1.0,2.25,2.5,1.75,2432,27.022222222222222,2.2537333333333334,2.9938280000000006,2.5572786377028196,27616.477480143243,23.705844848766123,2868.462287597353,1310.199288840186,-143.26303484698602,2.4962400143089387,0.8366280904558422,4,False
4.0,0.03333333333333333,19.344444444444445,7.872222222222222,31.488888888888887,0.9769045156842469,19.0,0.06666666666666667,5.866666666666666,1.5567251461988305,29.57777777777778,0.917614615649776,1.75,1.625,0.875,4.75,5.0,3.0,2901,32.233333333333334,2.289525333333334,3.251070833333334,2.7205272254614323,42375.440291213825,26.44232000583039,1946.92244693496,1076.3010158582406,-226.26216957471203,2.4326903628850216,0.8205783064872614,6,False
1.0,39.78888888888889,39.78888888888889,39.78888888888889,39.78888888888889,1.0,18.0,0.1111111111111111,13.477777777777778,2.1339506172839506,38.41111111111111,0.9653728008936051,1.0,1.0,0.6666666666666666,2.75,2.5,1.75,3581,39.78888888888889,2.450991333333333,3.139526333333334,2.7981388414239428,29952.318661818703,98.850082497098,5733.814428709946,2350.7357493502614,-40.0098425575714,2.422421502832335,0.8702123676096528,7,False
2.0,4.522222222222222,22.5,13.511111111111111,27.022222222222222,0.9910350448247759,17.0,0.13333333333333333,5.866666666666666,1.4947712418300654,25.41111111111111,0.9319478402607987,0.8,0.8,0.8,2.25,1.75,1.75,2454,27.266666666666666,2.337122500000001,3.225039,2.737774636904758,33924.71738813579,16.422819085467996,3390.50661300153,1500.0378250776266,-1575.1215857467876,2.434138206416818,0.3101421204772582,8,False
12.0,0.03333333333333333,18.1,2.212037037037037,26.544444444444444,0.8471631205673759,34.0,0.03333333333333333,7.655555555555556,0.7316993464052288,24.877777777777776,0.7939716312056737,1.4,1.0,1.4,2.5,2.5,1.75,2820,31.333333333333332,2.4329348333333343,2.997736666666667,2.6437784727891156,43420.53824060285,13.937876220120732,2655.0674049602767,1100.2465214750544,-359.14004734124876,2.469949465352614,0.31099921210475023,9,False
2.0,26.61111111111111,30.955555555555556,28.783333333333335,57.56666666666667,0.9974971120523681,22.0,0.022222222222222223,12.544444444444444,2.543939393939394,55.96666666666667,0.9697728147862918,1.2,1.2,1.0,2.0,2.0,1.25,5194,57.71111111111111,2.325810833333334,3.432057500000001,2.6605049669218706,40445.4380271635,68.85931065266293,4844.01199207074,2533.2882106421134,-255.37875939881835,2.4714791955161557,0.8491920705841858,10,True
5.0,3.111111111111111,19.555555555555557,8.726666666666667,43.63333333333333,0.9874277093286397,26.0,0.03333333333333333,4.311111111111111,1.6008547008547007,41.62222222222222,0.9419160170983153,2.0,1.8,1.2,4.5,4.0,3.75,3977,44.18888888888889,2.373052000000001,2.9804405000000003,2.677816941158827,50510.65312492655,12.825524453304782,3715.110271058146,1764.658393103849,-158.3288513422045,2.3686263386209387,0.7758289834192558,11,False
4.0,3.077777777777778,18.744444444444444,11.622222222222222,46.48888888888889,0.990530303030303,22.0,0.07777777777777778,9.377777777777778,2.0348484848484847,44.766666666666666,0.9538352272727273,1.4285714285714286,0.8571428571428571,1.2857142857142858,1.75,2.0,1.5,4224,46.93333333333333,1.2782136666666668,3.017555,2.6537503130871367,41905.01447347887,7.600826067893486,3134.604562641385,1728.8577445960661,-2928.8469781363256,2.4745743051968168,0.2196912079652323,12,False
