BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,PanelUpperTriangul,PanelUnderTriangul,PanelCorrectOrder,TileUpperTriangul,TileUnderTriangul,TileCorrectOrder,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,IsDifficult
23.0,0.06666666666666667,6.211111111111111,1.8956521739130434,43.6,0.8656518861681006,50.0,0.03333333333333333,5.2555555555555555,0.7566666666666666,37.833333333333336,0.7511581733951026,4.333333333333333,3.8333333333333335,2.8333333333333335,4.5,4.25,3.5,4533,50.36666666666667,1.0239563333333324,4.645260999999998,3.806700383768343,124643.66483953051,87.60441736134163,2242.82353880304,1132.6167701939478,-2106.426657944459,2.057140210959576,0.18461000864769395,2,False
17.0,0.044444444444444446,11.422222222222222,1.8633986928104576,31.677777777777777,0.66518898740084,39.0,0.022222222222222223,3.3,0.7381766381766381,28.788888888888888,0.604526364909006,1.75,1.25,1.75,3.0,2.75,2.5,4286,47.62222222222222,1.4937718333333316,4.553085166666665,3.7022408010400616,112132.07882367444,110.7480055891566,2630.637541178426,1327.2233606867771,-1485.30862603857,1.9220710263826455,0.050144031483365804,3,False
14.0,0.03333333333333333,5.9,1.8626984126984127,26.07777777777778,0.5762337343481463,30.0,0.022222222222222223,3.5555555555555554,0.7914814814814815,23.744444444444444,0.5246746869629266,1.8,1.4,1.4,6.0,5.5,5.75,4073,45.25555555555555,1.286643999999998,4.712186166666664,3.711308889558227,84020.95334063629,28.86635942685344,5663.796929833684,1893.3952772879577,-97.22181812471183,1.870200109809541,0.3929709584228933,4,False
16.0,0.044444444444444446,6.233333333333333,2.31875,37.1,0.8779910596897187,41.0,0.044444444444444446,5.011111111111111,0.8067750677506775,33.077777777777776,0.7828030502235077,1.625,1.0,0.875,5.5,5.25,3.75,3803,42.25555555555555,2.996106333333332,4.489791666666665,3.9917401313713254,92521.60927363808,5.046476367992395,5859.223643760803,2453.0746694461604,-537.7659242276396,1.869057419877824,0.23238028582793094,6,False
22.0,0.03333333333333333,5.633333333333334,1.3954545454545455,30.7,0.8247761194029851,55.0,0.03333333333333333,3.466666666666667,0.48464646464646466,26.655555555555555,0.7161194029850746,0.5,0.16666666666666666,0.16666666666666666,5.25,4.5,3.75,3350,37.22222222222222,3.0337296666666647,4.599207666666665,3.9921917678085825,84439.74496606537,21.603565142176727,2333.1775065633706,1106.6498081269292,-218.96382101311477,2.054092134732822,0.297330407023105,7,False
21.0,0.03333333333333333,5.522222222222222,1.4322751322751321,30.07777777777778,0.6837585248800202,45.0,0.022222222222222223,4.633333333333334,0.5755555555555555,25.9,0.5887850467289719,1.25,0.75,1.25,2.25,1.75,1.75,3959,43.98888888888889,1.2154211666666652,4.656285666666665,3.9648118978984863,123012.61482679768,1.2227941313357551e-06,2990.6831184678563,1594.606532610363,-274.4100253496354,2.0410666078917137,0.3240378877705969,8,False
7.0,0.03333333333333333,9.433333333333334,2.9841269841269837,20.88888888888889,0.9082125603864735,21.0,0.03333333333333333,7.033333333333333,0.8116402116402117,17.044444444444444,0.7410628019323672,1.2,1.0,0.8,2.75,2.75,1.75,2070,23.0,1.301968999999999,4.579132166666665,4.016786411587202,81500.64189739974,7.07888939734858,3796.5103143191386,1812.9595575558694,-59.86930765809149,2.024855736425191,0.725506871522116,9,False
17.0,0.03333333333333333,1.7,0.3954248366013072,6.722222222222222,0.1662087912087912,19.0,0.022222222222222223,1.6444444444444444,0.26666666666666666,5.066666666666666,0.12527472527472527,1.0,0.6666666666666666,1.0,1.25,1.25,0.25,3640,40.44444444444444,3.327479166666665,4.870086666666665,4.065060693726935,92595.08804659104,428.1515004200619,2511.965166242285,1458.618181274307,-18.641043971233604,1.8352163954172624,0.45759125989770194,10,True
28.0,0.03333333333333333,3.3,0.9003968253968254,25.211111111111112,0.5211299954065227,59.0,0.03333333333333333,2.2888888888888888,0.3627118644067796,21.4,0.44235186035829116,2.2,1.6,1.2,4.5,4.75,3.75,4354,48.37777777777778,1.3587368333333316,5.004036000000002,4.123990822633554,123850.1444389285,35.861151925612766,7622.289987329863,2181.9554377602217,-1340.2695183889361,1.830037723942059,-0.12737428508021936,11,True
18.0,0.044444444444444446,5.377777777777778,1.4080246913580248,25.344444444444445,0.5491092922484352,38.0,0.03333333333333333,3.8,0.5947368421052631,22.6,0.48964853153586907,2.5,1.5,1.6666666666666667,2.0,2.0,1.25,4154,46.15555555555556,1.3089421666666674,4.668668000000001,3.983806161414417,93519.7677073253,41.75719191922789,2866.904412219747,1331.9255598637158,-220.80903740128787,1.9358484732803334,0.40897005321267577,12,False
