BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,UpperTriangul,UnderTriangul,CorrectOrder,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,IsDifficult
6.0,0.5555555555555556,12.688888888888888,5.5851851851851855,33.51111111111111,0.9538266919671095,23.0,0.12222222222222222,6.488888888888889,1.3714975845410629,31.544444444444444,0.8978494623655914,24,21,20,3162,35.13333333333333,1.0313033333332893,3.614267999999955,2.943846030902736,37919.395623146425,0.021083236604170903,1.0000000000000002,0.8221009137203321,-1444.7538356492819,1.6895945197166276,-0.30656345474538854,2,False
9.0,0.1111111111111111,13.955555555555556,5.52962962962963,49.766666666666666,0.8862287297190344,25.0,0.08888888888888889,8.21111111111111,1.897777777777778,47.44444444444444,0.8448753462603878,11,11,9,5054,56.15555555555556,0.9640501666666338,3.879615666666627,3.036550835482852,49414.38207000744,0.04156177844520473,1.0000000000000002,0.7505538613795663,-43.023489097721175,1.8873179626530427,0.6185227793266665,3,False
8.0,0.4222222222222222,20.355555555555554,4.1930555555555555,33.544444444444444,0.9716768587061474,20.0,0.13333333333333333,6.911111111111111,1.5877777777777777,31.755555555555556,0.9198583842935307,8,5,8,3107,34.522222222222226,1.651255166666644,3.697519999999967,2.9739835431331647,36255.827385123855,0.01745506219526185,1.0,0.763345726139746,-194.34282360878805,2.027479496539428,0.39939044529314094,4,False
7.0,0.03333333333333333,26.066666666666666,4.723809523809524,33.06666666666667,0.9556840077071291,30.0,0.022222222222222223,7.277777777777778,1.037037037037037,31.11111111111111,0.899165061014772,8,7,4,3114,34.6,1.030235333333301,4.070609833333301,3.2363601272096716,31202.46705742317,0.04326641414842995,1.0000000000000002,0.7827825216308179,-42.8511392735008,1.861045759544182,0.3904444900085056,6,False
4.0,3.8333333333333335,20.766666666666666,12.35,49.4,0.9893190921228304,29.0,0.07777777777777778,12.4,1.5946360153256705,46.24444444444445,0.9261237205162439,7,7,3,4494,49.93333333333333,1.0776443333332997,3.9877599999999713,3.284493597839194,43405.07128449678,0.03967514748537715,1.0000000000000002,0.7751714701611255,-1167.9333548315094,1.8274501715817153,0.23898271947482702,7,False
15.0,0.1111111111111111,21.92222222222222,3.011111111111111,45.166666666666664,0.9344827586206896,35.0,0.08888888888888889,5.455555555555556,1.211111111111111,42.388888888888886,0.8770114942528735,3,2,3,4350,48.333333333333336,0.8284811666666444,3.9570796666666337,3.0827913840255,57816.22749200977,0.00016969335274369287,1.0000000000000002,0.7487077422418882,-103.68507454306267,1.7221553694108314,0.6900471718223061,8,False
13.0,0.06666666666666667,19.3,2.7324786324786325,35.522222222222226,0.7433155080213903,33.0,0.044444444444444446,7.288888888888889,0.9851851851851853,32.51111111111111,0.680306905370844,6,5,4,4301,47.78888888888889,0.8707071666666346,4.13247166666664,3.4026756768092623,82460.38304245271,0.007577806874720177,1.0000000000000002,0.7443594063801601,-164.86366865297575,1.8706666781883254,0.5249648850541536,9,False
12.0,0.3111111111111111,10.78888888888889,4.326851851851852,51.922222222222224,0.6299541655432731,21.0,0.13333333333333333,8.355555555555556,2.3634920634920635,49.63333333333333,0.6021838770558102,3,5,3,7418,82.42222222222222,1.7977624999999369,3.90889233333326,3.39969693373401,123862.03124351127,0.0035017790905397172,1.0000000000000002,0.8471621553171175,-66.11548883390982,1.9252453666853446,0.9705979507931947,10,True
6.0,0.5333333333333333,8.488888888888889,2.3222222222222224,13.933333333333334,0.43018867924528303,10.0,0.13333333333333333,3.066666666666667,1.3166666666666667,13.166666666666666,0.4065180102915952,2,2,1,2915,32.388888888888886,2.4410553333332605,3.773925833333252,3.2425688211707393,59085.40829227111,0.03011550414780948,1.0,0.6795538357621994,-12.508969578380468,1.812418617416192,0.8278010674098698,11,False
20.0,0.08888888888888889,11.933333333333334,2.375,47.5,0.6192959582790091,29.0,0.08888888888888889,11.855555555555556,1.5674329501915707,45.455555555555556,0.592640880776474,22,19,8,6903,76.7,1.2237829999998702,4.025787166666558,3.055614654585285,173381.8531492247,0.06704750097678616,1.0000000000000002,0.7909286523012655,-42.373636116588436,1.841748422153548,0.7649071793399821,12,False
18.0,0.2111111111111111,7.411111111111111,2.2506172839506173,40.51111111111111,0.8219116321009918,26.0,0.1111111111111111,6.988888888888889,1.473931623931624,38.32222222222222,0.777502254283138,9,7,5,4436,49.28888888888889,0.6364569999998616,3.5800579999998683,2.7513871622052033,96920.56368446522,0.014980439109222103,1.0000000000000002,0.8472488145020587,-69.997020675085,1.9270312980014408,0.8334189824331385,13,False
