BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,UpperTriangul,UnderTriangul,CorrectOrder,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,IsDifficult
8.0,0.14444444444444443,5.1,2.6152777777777776,20.92222222222222,0.9354197714853453,13.0,0.1,4.555555555555555,1.4923076923076926,19.4,0.8673621460506705,13,15,11,2013,22.366666666666667,2.185094167,3.285647167,2.9171768981379818,51019.29216993535,0.015535516989644732,1.0000000000000002,0.824182411976057,-80.4633019535827,3.2247634479741945,1.0353722961720848,2,False
8.0,0.7111111111111111,8.633333333333333,2.977777777777778,23.822222222222223,0.9213579716373013,12.0,0.6666666666666666,4.611111111111111,1.9175925925925927,23.011111111111113,0.8899871078642029,14,13,12,2327,25.855555555555554,1.5947493330000002,3.338951167,2.9063424817273633,59061.18097096734,0.016482984803706684,1.0000000000000002,0.6224508183364834,-588.4578154733337,3.3628708228826145,0.21775331091830896,3,False
7.0,0.32222222222222224,6.322222222222222,2.6841269841269844,18.788888888888888,0.9662857142857143,16.0,0.07777777777777778,4.466666666666667,1.0375,16.6,0.8537142857142859,9,8,9,1750,19.444444444444443,0.723396333,3.3338595,2.8733770350863748,41536.30408994075,0.030635487896325687,1.0000000000000002,0.773201003112918,-1446.9374783647736,3.2376701739281817,-0.8060379641695553,4,False
6.0,0.1,2.7222222222222223,1.85,11.1,0.9241443108233117,13.0,0.08888888888888889,2.6222222222222222,0.782905982905983,10.177777777777777,0.84736355226642,8,10,3,1081,12.011111111111111,1.593895,3.416181,3.052838003334392,41442.463770770155,0.13664431033912114,1.0000000000000002,0.7997044684325273,-144.84605845110164,3.2509526156165665,0.8960701176821584,6,False
5.0,1.1333333333333333,6.555555555555555,4.144444444444445,20.72222222222222,0.9820958399157451,25.0,0.07777777777777778,4.233333333333333,0.723111111111111,18.07777777777778,0.8567667193259612,9,8,3,1899,21.1,0.8450063329999999,3.409370333,2.9904908686216674,33380.51221100536,0.00889586626852225,1.0,0.7309592854674728,-147.75819080055504,3.50737018342013,0.8564755652524361,7,False
6.0,0.6222222222222222,10.544444444444444,3.1314814814814813,18.788888888888888,0.973517559009787,16.0,0.13333333333333333,7.977777777777778,1.09375,17.5,0.9067357512953368,5,5,5,1737,19.3,1.6443201669999998,3.762346833,2.9618401677534196,40519.7309625155,0.08475387644810015,1.0,0.7331862871133629,-352.69793342107914,3.4344150179999997,0.23139538290221576,8,False
5.0,0.6444444444444445,3.2888888888888888,2.0533333333333337,10.266666666666667,0.9614984391259105,13.0,0.07777777777777778,3.011111111111111,0.7094017094017094,9.222222222222221,0.8636836628511966,7,9,5,961,10.677777777777777,1.5795465,3.392845167,3.040361232439466,32267.894713277587,0.02772206440461749,1.0,0.7693238548797655,-178.01937760494383,3.395993844295835,0.43694465860198234,9,False
12.0,0.07777777777777778,9.455555555555556,3.5509259259259256,42.611111111111114,0.9585103724068983,37.0,0.08888888888888889,5.555555555555555,1.0045045045045045,37.166666666666664,0.8360409897525619,11,10,9,4001,44.455555555555556,1.086992833,3.637705167,2.976791039853764,94599.38968011197,0.0028606433195338572,1.0000000000000002,0.7518572746827749,-152.99520535726575,3.303094042521617,0.3700078203845237,10,True
9.0,0.3,3.311111111111111,1.9481481481481482,17.533333333333335,0.9477477477477477,20.0,0.2777777777777778,3.2666666666666666,0.7661111111111112,15.322222222222223,0.8282282282282283,9,9,5,1665,18.5,1.7169724999999998,3.4866945,2.9789992762760624,65800.11066065152,2.1800918989696487e-06,1.0,0.6966233222862492,-712.2205681208703,3.171608340206586,0.15626004152694298,11,False
8.0,1.8222222222222222,6.977777777777778,3.3180555555555555,26.544444444444444,0.9687753446877534,15.0,0.1,3.933333333333333,1.6807407407407409,25.211111111111112,0.9201135442011354,12,8,8,2466,27.4,2.10363,3.266708333,2.8981801553334683,46107.00763183416,0.04052813398068952,1.0,0.7844152620360373,-311.8057674119858,3.100439450970643,0.388993180083916,12,False
8.0,0.1,5.555555555555555,2.498611111111111,19.988888888888887,0.9610042735042735,12.0,0.2,4.311111111111111,1.5805555555555555,18.966666666666665,0.9118589743589742,8,9,4,1872,20.8,1.5594813330000001,3.426409333,2.9091141400855656,41380.04233643537,0.032323725566288944,1.0000000000000002,0.8647726418112516,-159.26822174455813,3.2383853151839928,0.5826741584529983,13,False
6.0,0.16666666666666666,12.233333333333333,4.1722222222222225,25.033333333333335,0.9791395045632334,21.0,0.07777777777777778,3.566666666666667,1.1126984126984127,23.366666666666667,0.9139504563233377,6,6,5,2301,25.566666666666666,1.8982314999999998,3.1124215,2.7759242051015147,44029.23634654174,0.07675080101114352,1.0000000000000002,0.7522629978286561,-1074.1954511405033,3.1403486110648293,-0.33055110688355543,14,False
16.0,0.06666666666666667,17.9,2.263888888888889,36.22222222222222,0.9065628476084538,44.0,0.06666666666666667,5.522222222222222,0.7603535353535354,33.455555555555556,0.8373192436040044,20,18,14,3596,39.955555555555556,1.006892,3.1561586669999997,2.866830995066379,77176.1796890734,0.0008941759377065623,1.0000000000000002,0.7259661127720923,-656.5300369146578,3.129547164661489,0.42026856668560936,15,False
10.0,0.5111111111111111,8.422222222222222,2.312222222222222,23.122222222222224,0.9191696113074205,20.0,0.1111111111111111,4.233333333333333,1.0772222222222223,21.544444444444444,0.8564487632508834,5,6,5,2264,25.155555555555555,1.533894667,3.3584620000000003,2.8727043506742467,62770.44899970377,0.044156504119336915,1.0,0.7450035728428264,-695.1848711150101,3.119219362361343,0.44842093545480616,16,False
