PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,Panel_Move,Tile_Move,GazeMove_L,FIX_D,IsDifficult,IsUnderstand,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,Panel
3.243682833333331,3.3830766666666645,3.332071047619046,0.6,0.25,51.999920280102785,0.07777777777777778,False,False,254.0954282340054,512.6513905609047,354.8899276619216,1.2305734020759551,1.4258303788310818,1.3623898614950611,2.0,3.0
3.0626856666666646,3.2054748333333314,3.1357173809523786,-0.4,0.0,533.3356608824529,0.3111111111111111,False,False,37.63563191093937,167.63087471607432,126.3694941430733,1.8095631840459987,2.2162345760602626,2.0222079192287756,2.0,1.0
3.137501999999998,3.188473999999998,3.156615833333331,0.0,0.0,88.44920340285657,0.07777777777777778,False,False,96.08946572450655,114.6319279029016,105.4955759275628,1.5689309777844822,2.441673861684047,2.1621164269870476,2.0,1.0
2.9091061666666644,3.2785771666666648,3.0927406888888873,0.2,0.25,1445.8432461394855,1.1666666666666667,False,False,14.167503353845149,588.1800413499979,321.0231362071158,0.914104846879374,2.6069940746352778,1.683960167844673,2.0,2.0
3.016896499999998,3.1221873333333314,3.051733630434781,-0.2,0.0,174.35492030285485,0.5111111111111111,False,False,384.9734625500177,552.2750437691235,502.33574937544415,-23.069872772792994,2.505528091166856,0.9838160080742803,2.0,1.0
3.0142008333333314,3.036336166666665,3.0226985312499983,0.2,-0.25,39.76920449043126,0.17777777777777778,False,False,239.58723017184,273.9340729977952,257.34833822819184,1.9784701887462608,2.0738232272498665,2.049730007580071,2.0,3.0
3.1731821666666646,3.1960831666666643,3.1861579305555536,-0.4,0.0,32.22613480047047,0.13333333333333333,False,False,72.4637936725996,83.03234494034587,79.05349078413,1.658166690836464,1.8110585107387651,1.7700087548503902,2.0,1.0
2.9510444999999983,3.208666499999998,3.093383475490194,0.2,0.25,352.03394430046023,0.37777777777777777,False,False,307.4553302109552,1087.768250540175,793.1166161516768,-5.089868343476017,2.424451451085791,0.6184705556314904,2.0,2.0
2.9629668333333314,3.199943499999998,3.045698925287355,0.0,0.0,648.6135258216805,1.288888888888889,False,False,451.4146070183135,1220.3861679031515,1112.798271162404,-78.0878894520159,2.4842760389325593,0.18300080952478665,2.0,2.0
2.842480999999998,3.1861571666666646,3.025209964788732,0.0,0.0,1216.5366551995662,1.5777777777777777,False,False,123.79801520308963,1176.594128415771,688.5292133031695,-71.575637501973,2.04103598125777,0.2085746813835487,2.0,2.0
2.7545648333333315,2.7800191666666643,2.7672919999999976,0.0,0.0,19.22068,0.022222222222222223,False,False,608.3091357826563,652.3332323369062,630.3211840597812,0.6410929292189549,0.8775890281254948,0.7593409786722248,2.0,2.0
2.8396069999999978,3.044227499999998,2.9660191833333314,0.0,0.0,163.47243848695186,0.5555555555555556,False,False,904.9121792947444,1253.7178663945283,1178.4191225014156,0.06278357213357832,1.1262983635190675,0.6861722001096756,2.0,2.0
2.8023681666666644,3.1103286666666654,2.997955965277777,0.0,0.0,172.18545290303933,0.5333333333333333,False,False,993.9442329022294,1291.1683785748453,1225.982568335682,0.38253513649037174,2.087015430038088,1.0535660264439772,2.0,2.0
2.829220999999998,3.005643166666665,2.934066857142855,0.0,-0.25,210.5197207014848,0.3888888888888889,False,False,790.5199572222192,1276.410520017151,1206.693857375666,-0.5830924440282583,1.4375187421213704,0.7778357124955684,2.0,2.0
2.8200934999999983,3.014175333333331,2.910824960526314,0.0,0.25,314.41002976011384,0.4222222222222222,False,False,733.7903722005151,1252.8876838481349,1061.339749366701,-4.30971526024706,1.966580797914366,0.5710564676569103,2.0,2.0
2.841788999999998,3.067273499999997,2.9709759316546736,0.2,-0.25,1567.9873979239976,1.5444444444444445,False,False,183.825728624964,1216.6940720057014,593.324832447042,-1.0559674731551167,2.409261653828702,1.6091945818755766,2.0,3.0
2.9235864999999976,3.1771494999999983,3.0587451969696953,0.0,0.0,332.9766054854046,0.4888888888888889,False,False,429.8480035826403,644.6347004614568,536.3466448957756,1.8803246611583613,2.0453739439149823,1.9670038455436265,2.0,3.0
2.749549833333331,2.925313333333331,2.851760924999998,0.4,0.5,318.0432865168102,1.1111111111111112,False,False,467.5618735750122,955.618855642366,846.6108135766694,-2.3115000842069806,1.6713310542276631,1.0504560759699642,2.0,5.0
2.8538156666666645,2.893244333333332,2.87090247222222,0.0,0.0,46.17540237559669,0.13333333333333333,False,False,89.6460935493023,106.38548738872224,100.62820724017111,0.7481997483288285,1.1438880047711035,0.9319103549707431,2.0,5.0
2.9157333333333315,2.934069333333331,2.923536374999998,-0.2,0.25,8.431092190919124,0.044444444444444446,False,False,344.5430874228967,351.420751855233,349.2378887212125,1.838624771387909,1.8878062598691758,1.8553052381822537,2.0,4.0
2.8153456666666643,2.816632333333331,2.815962777777776,0.0,0.0,3.9538902409750665,0.03333333333333333,False,False,271.37868824868895,277.7639630840017,273.5071131937932,1.8188968355729602,1.8884886064839257,1.8488199989695762,2.0,4.0
2.7976023333333315,2.803848333333331,2.8012203888888867,0.0,0.0,4.419945791519433,0.03333333333333333,False,False,285.0389476015892,294.13065267407563,290.99992125842385,1.5815969700445514,1.8452741848362288,1.7573361132390033,2.0,4.0
2.721084666666665,2.7997893333333312,2.7553427619047595,0.0,0.0,138.5558296617998,0.3111111111111111,False,False,307.6741127388784,344.1571538782538,325.455936649746,-6.137402385910203,2.104632143364919,0.8128177791640435,2.0,4.0
