BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,IsDifficult,IsUnderstand,GazeMove_L,HM_Min,HM_Max,HM_Mean,DiffCrossPos_Min,DiffCrossPos_Max,DiffCrossPos_Mean,Page,Panel
3.0,0.1111111111111111,0.6111111111111112,0.2851851851851852,0.8555555555555555,0.8555555555555555,4.0,8.0,16.0,10.25,41.0,0.45555555555555555,2.4810129999999715,3.590388166666638,3.21945285777775,False,False,4320.622741798884,0.06891302783922068,0.6644640223042159,0.27720604541955607,0.4404950203901401,2.2548700199533958,1.8408520890698277,2,2
2.0,0.3,0.6333333333333333,0.4666666666666667,0.9333333333333333,0.9333333333333333,5.0,8.0,24.0,12.8,64.0,0.7111111111111111,2.4810129999999715,3.27857716666664,3.170897622489935,False,False,3358.9709020265723,0.06891302783922068,0.4184336983450672,0.2300023997941276,0.4404950203901401,2.2548700199533958,1.6651642797633925,2,2
1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,24.0,13.6,68.0,0.7555555555555555,2.9091061666666413,3.27857716666664,3.1053402851851595,False,False,1577.5393497576763,0.08429984871586882,0.650760602306989,0.2525257166790263,0.46952780284012086,2.4246874583923113,1.639803201624955,2,1
2.0,0.1111111111111111,0.7777777777777778,0.4444444444444444,0.8888888888888888,0.8888888888888888,4.0,8.0,27.0,15.75,63.0,0.7,2.9091061666666413,3.2342859999999725,3.0189611602563824,False,False,1602.8361178771218,0.08429984871586882,0.8924055898302674,0.3834958309879686,-3.2237496342149234,2.4246874583923113,1.6032578126844983,2,2
2.0,0.2777777777777778,0.6111111111111112,0.4444444444444444,0.8888888888888888,0.8888888888888888,3.0,21.0,24.0,22.333333333333332,67.0,0.7444444444444445,3.0068944999999725,3.2342859999999725,3.0562800363247575,False,False,1009.4415290827508,0.4013066505750951,0.8924055898302674,0.5548697130015774,-23.11331391203126,2.2578659046308127,1.2006331896270162,2,2
1.0,1.0,1.0,1.0,1.0,1.0,4.0,13.0,24.0,16.75,67.0,0.7444444444444445,2.9623924999999702,3.2087581666666365,3.0710176481481186,False,False,1576.5000891426018,0.07319022255433838,0.7423269502278342,0.3930673606745031,-23.11331391203126,2.2578659046308127,1.4183032751932703,2,2
1.0,0.9,0.9,0.9,0.9,0.9,4.0,10.0,21.0,15.25,61.0,0.6777777777777778,2.874641499999969,3.2087581666666365,3.086678502057584,False,False,1540.0424884484582,0.07319022255433838,0.9940826955839724,0.5384552686647891,-4.997688881463189,2.343348118185742,1.2967327823969086,2,4
2.0,0.4,0.43333333333333335,0.4166666666666667,0.8333333333333334,0.8333333333333334,3.0,9.0,39.0,23.0,69.0,0.7666666666666667,2.874641499999969,3.208666499999969,3.046735477477444,False,False,762.1564041414151,0.8271642065172997,0.9990447161319655,0.942452848892152,-23.88057261723017,2.343348118185742,0.6112064645994577,2,4
1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,84.0,84.0,84.0,84.0,0.9333333333333333,2.9629668333333017,3.0998734999999704,3.012918881526074,False,False,396.83833922238694,0.8901340330820989,0.9995957586762364,0.9662548616071777,-23.88057261723017,2.321107041134468,0.9786215851430027,2,4
1.0,0.8777777777777778,0.8777777777777778,0.8777777777777778,0.8777777777777778,0.8777777777777778,1.0,79.0,79.0,79.0,79.0,0.8777777777777778,2.8507411666666385,3.1999434999999714,3.059633641350181,False,False,657.9881234750136,0.2353195048739677,1.0,0.9500387218995955,-77.99439297876336,2.321107041134468,0.1298451437458021,2,4
2.0,0.37777777777777777,0.4444444444444444,0.4111111111111111,0.8222222222222222,0.8222222222222222,3.0,2.0,35.0,23.666666666666668,71.0,0.7888888888888889,2.8507411666666385,3.1999434999999714,3.1366138515981454,False,False,891.8243145817988,0.2353195048739677,1.0,0.9379899785759733,-77.99439297876336,2.2229189780772733,-0.4039677785455967,2,4
1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,3.0,20.0,35.0,26.333333333333332,79.0,0.8777777777777778,2.9507853333333016,3.186157166666639,3.0840280912698113,False,False,527.6196960624072,0.8000259929737695,0.9842543194131452,0.9165420383473173,-2.3018305168823687,2.068293032896884,0.9062287551726569,2,4
1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,34.0,19.75,79.0,0.8777777777777778,2.8499248333333003,3.1161879999999713,2.996315499999968,False,False,945.9351828166538,0.3928610419416687,0.9771407136085444,0.8661822105252414,-71.47298026153459,2.068293032896884,-0.06349014424613326,2,4
