BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,IsDifficult,IsUnderstand,GazeMove_L,HM_Min,HM_Max,HM_Mean,DiffCrossPos_Min,DiffCrossPos_Max,DiffCrossPos_Mean,Page,Panel
1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,52.0,20.0,80.0,0.8888888888888888,2.5231423333333303,2.649706666666664,2.596878087037034,False,False,601.8000692484486,0.6831457916702958,0.9999776652935176,0.911189867040492,-2.3906061714857305,2.409758172779915,1.1005627631865706,2,4
1.0,1.0,1.0,1.0,1.0,1.0,3.0,9.0,40.0,28.0,84.0,0.9333333333333333,2.5231423333333303,2.6965433333333286,2.606778742592591,False,False,754.9506836967248,0.5946422700810956,0.9952875422353132,0.8755774503076048,-5.223776833958999,2.409758172779915,0.46588770818822256,2,4
1.0,1.0,1.0,1.0,1.0,1.0,3.0,22.0,34.0,27.0,81.0,0.9,2.582893499999997,2.7669828333333304,2.680680799999997,False,False,1024.2624617633232,0.2452759413139835,0.9609899360121118,0.6859400508490042,-5.223776833958999,2.293357704979836,-0.01651052618998786,2,4
1.0,1.0,1.0,1.0,1.0,1.0,3.0,13.0,43.0,27.0,81.0,0.9,2.6103923333333348,2.7669828333333304,2.690465590740739,False,False,792.3429230832087,0.2452759413139835,1.0,0.7511600001550889,-4.910330628593982,2.293357704979836,0.3290311931327611,2,4
1.0,1.0,1.0,1.0,1.0,1.0,2.0,30.0,53.0,41.5,83.0,0.9222222222222223,2.539385666666668,2.7615739999999995,2.615647633333334,False,False,419.60850653502507,0.9626351105968876,1.0,0.9905442599758016,-1.3441297045355247,2.2783387139421807,0.4894520110533436,2,4
1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,75.0,42.5,85.0,0.9444444444444444,2.539385666666668,2.639401833333336,2.590983072222224,False,False,385.08682644504376,0.9396139904597886,0.9995891844310671,0.9846356322906041,-1.3441297045355247,2.3108157184068103,0.6538617381423277,2,5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,90.0,90.0,90.0,1.0,2.569508666666668,2.7684376666666712,2.6405739518518545,False,False,320.9542477324194,0.8410543826675314,1.0,0.9659631819407309,-4.273969936320241,2.3108157184068103,0.8678569280676762,2,5
1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,58.0,27.666666666666668,83.0,0.9222222222222223,2.540830166666669,2.7809068333333378,2.6774232740740773,False,False,705.4209526258658,0.28861029990614423,1.0,0.8882739899479173,-4.273969936320241,2.2503354436064225,0.6642783869492661,2,5
1.0,1.0,1.0,1.0,1.0,1.0,3.0,13.0,49.0,27.333333333333332,82.0,0.9111111111111111,2.509941000000002,2.7809068333333378,2.623179216666669,False,False,764.7231865210852,0.28861029990614423,0.9340225432610424,0.6194808279272891,-2.2205882109363952,2.2503354436064225,1.0444426253857881,2,5
1.0,1.0,1.0,1.0,1.0,1.0,3.0,17.0,44.0,27.666666666666668,83.0,0.9222222222222223,2.509941000000002,2.6319323333333373,2.569458061111114,False,False,432.9394166823708,0.4177382285247604,0.5266847489857992,0.4846546416925784,-120.3441993832853,2.28333922065512,-0.7890495564304185,2,5
1.0,1.0,1.0,1.0,1.0,1.0,3.0,22.0,31.0,27.333333333333332,82.0,0.9111111111111111,2.519978500000003,2.6361313333333385,2.584327053703709,False,False,342.39364543640215,0.12903534303711453,0.5266847489857992,0.49537478732162005,-120.3441993832853,2.292061480369991,-1.9020625087949514,2,5
1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,37.0,26.666666666666668,80.0,0.8888888888888888,2.512829833333338,2.6361313333333385,2.578825162962968,False,False,602.9416411329051,0.12903534303711453,0.5536351126066386,0.5060114779079579,-5.24282976918977,2.292061480369991,0.06209157908760928,2,5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,82.0,82.0,82.0,82.0,0.9111111111111111,2.512829833333338,2.67707333333334,2.59692705370371,False,False,531.3679006049468,0.4654885283962635,0.554907804912206,0.5267530115297085,-6.796101148424046,2.2650181259352915,0.41070871734963027,2,5
1.0,1.0,1.0,1.0,1.0,1.0,2.0,38.0,47.0,42.5,85.0,0.9444444444444444,2.5826468333333423,2.67707333333334,2.6336287500000086,False,False,384.74985571293087,0.3978456108438379,0.554907804912206,0.5210092811863271,-12.279581726691081,2.2558052068501984,0.25530953094330494,2,5
1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,46.0,18.0,72.0,0.8,2.596740833333344,2.6892448333333445,2.641455966666677,False,False,1096.6800563274728,0.1821640347467817,0.9594532611073564,0.5487844971405946,-12.279581726691081,2.2753064321035166,0.8999391808024364,2,5
1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,50.0,18.5,74.0,0.8222222222222222,2.4731776666666767,2.6892448333333445,2.5921198870370477,False,False,1061.9924577152392,0.1821640347467817,0.9897469129951196,0.737628572112368,-13.332860204537377,2.2753064321035166,1.0881217255933155,2,6
1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,39.0,20.75,83.0,0.9222222222222223,2.4731776666666767,2.694460833333343,2.5783844259259356,False,False,359.82670319283085,0.7327063186181004,0.9935413043978412,0.9047233516958473,-13.332860204537377,2.215053803808624,1.2556848529657278,2,6
1.0,1.0,1.0,1.0,1.0,1.0,3.0,13.0,49.0,28.666666666666668,86.0,0.9555555555555556,2.5096870000000093,2.7335305000000094,2.644019094444454,False,False,316.1613950818516,0.9304643612829762,0.999986115934505,0.9759303592667872,-50.11710452370651,2.2456222748710855,1.0148588730974575,2,6
1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0,67.0,43.5,87.0,0.9666666666666667,2.632250333333343,2.7335305000000094,2.6622742277777878,False,False,348.98703772566876,0.4529066403543239,1.0,0.8705613635654007,-50.11710452370651,2.262879345494365,0.926742856976822,2,6
1.0,1.0,1.0,1.0,1.0,1.0,3.0,22.0,31.0,27.666666666666668,83.0,0.9222222222222223,2.5763626666666792,2.668744500000013,2.6480010962963068,False,False,384.20482391488054,0.4529066403543239,1.0,0.7765178409829452,-35.02460782846563,2.262879345494365,1.017075838091647,2,6
1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,36.0,26.333333333333332,79.0,0.8777777777777778,2.5069910000000144,2.6700720000000144,2.6045241833333477,False,False,850.1809896801889,0.4705941824855244,0.9695664438316268,0.8557941209165328,-35.02460782846563,2.3583272161760975,0.5124863973053962,2,6
1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,40.0,26.333333333333332,79.0,0.8777777777777778,2.4719340000000143,2.6700720000000144,2.5871473481481626,False,False,936.4437735851875,0.6327090007023853,0.95127624139395,0.8914054195006863,-12.180792173335503,2.3583272161760975,0.4747522233373741,2,6
1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,41.0,18.5,74.0,0.8222222222222222,2.3814086666666805,2.6538823333333474,2.5508401037037167,False,False,807.8786810865809,0.6327090007023853,0.9999176465409804,0.9041183499858946,-3.967401774823948,2.347668208707945,0.9278044801640571,2,6
1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,33.0,14.0,70.0,0.7777777777777778,2.34249616666668,2.582522166666678,2.4584980518518647,False,False,952.0361066271322,0.6327090007023853,0.9999176465409804,0.9621054454920563,-7.940486886595048,2.347668208707945,1.002759464713549,2,6
1.0,1.0,1.0,1.0,1.0,1.0,3.0,14.0,47.0,27.333333333333332,82.0,0.9111111111111111,2.34249616666668,2.472834166666681,2.412404044444458,False,False,585.9765553047355,0.9407593604028459,0.999879077045872,0.9881938397270961,-7.940486886595048,2.3332077711975727,0.48810998805516154,2,6
