BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,Panel_Move,Tile_Move,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,Panel,IsDifficult,IsUnderStand
2.0,0.03333333333333333,0.2111111111111111,0.12222222222222222,0.24444444444444444,0.7586206896551724,1.0,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.4827586206896552,29,0.32222222222222224,3.205337333333332,3.5358811666666647,3.3684206851851823,-0.2,0.9224137931034483,2873.073265053892,116.17435903286643,131.3556828696781,124.08030873036981,1.725674240468098,1.932616927870578,1.7805467229453444,2,-1.0,,
1.0,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.17777777777777778,1.0,1.0,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.5,16,0.17777777777777778,3.2102381666666644,3.590388166666665,3.357900520833331,0.8,-0.4224137931034483,346.939917337407,254.0954282340054,512.6513905609047,354.8899276619216,1.1906318574172885,2.1122439276209812,1.553031766053729,2,3.0,False,False
2.0,0.35555555555555557,0.4,0.37777777777777777,0.7555555555555555,0.918918918918919,3.0,0.08888888888888889,0.32222222222222224,0.1925925925925926,0.5777777777777777,0.7027027027027026,74,0.8222222222222222,2.481012999999998,3.276506833333331,3.158401619402983,-0.4,-0.040540540540540515,7240.113603048418,37.63563191093937,390.15843067453386,127.63520870700496,0.44049502039013744,2.2548700199533958,1.7643591290736473,2,1.0,False,False
1.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,1.0,1.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,1.0,42,0.4666666666666667,2.9496816666666645,3.2785771666666648,3.1324864365079343,0.2,-0.20945945945945948,310.7623409583152,14.167503353845149,424.32117469096295,376.2776497872924,0.9837758321880496,2.4246874583923113,1.5445257044806249,2,2.0,False,False
1.0,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.24444444444444444,1.0,1.0,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.24444444444444444,1.0,22,0.24444444444444444,2.9091061666666644,3.060200999999998,2.9686926212121194,-0.2,0.0,576.6001436710093,61.85407375559058,328.52268863624755,109.2133473983438,1.685991639942782,2.4181196920115187,2.083708364064979,2,1.0,False,False
1.0,0.18888888888888888,0.18888888888888888,0.18888888888888888,0.18888888888888888,1.0,1.0,0.18888888888888888,0.18888888888888888,0.18888888888888888,0.18888888888888888,1.0,17,0.18888888888888888,2.995684499999998,3.0786591666666645,3.029848039215684,0.2,0.0,200.41176708469197,114.07209984480288,588.1800413499979,514.0626053513881,1.5497180296800843,1.9656130364380622,1.7691698612574327,2,2.0,False,False
1.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.0,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.8333333333333334,12,0.13333333333333333,3.008890833333331,3.1243033333333314,3.089981749999998,-0.2,0.0,86.11832935068568,461.86286810584846,501.47737240026765,478.4699717799469,1.5010365647795725,2.0519254686886614,1.6603196504802267,2,1.0,False,False
2.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.2857142857142857,0.0,,,,0.0,0.0,14,0.15555555555555556,3.006894499999998,3.2342859999999978,3.1205902499999976,0.2,0.0,6140.875152711714,,,,-0.880254435449165,2.227516047616528,0.6736308060836815,2,2.0,False,False
1.0,0.25555555555555554,0.25555555555555554,0.25555555555555554,0.25555555555555554,1.0,1.0,0.25555555555555554,0.25555555555555554,0.25555555555555554,0.25555555555555554,1.0,23,0.25555555555555554,3.016896499999998,3.1221873333333314,3.0541775289855058,-0.2,0.0,111.71595247167048,384.9734625500177,493.3876921807332,469.6545617183061,-23.11331391203126,2.2578659046308127,0.1732852202565191,2,1.0,False,False
1.0,0.3111111111111111,0.3111111111111111,0.3111111111111111,0.3111111111111111,1.0,1.0,0.25555555555555554,0.25555555555555554,0.25555555555555554,0.25555555555555554,0.8214285714285714,28,0.3111111111111111,3.0076571666666645,3.073689999999998,3.0477458690476165,0.2,0.01785714285714285,408.6206635479254,475.7708092632429,552.2750437691235,535.016937032582,-0.5907083355774461,2.228522360823852,1.6134500607443396,2,2.0,False,False
