BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,Panel_Move,Tile_Move,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,Panel,IsDifficult,IsUnderStand
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,2,0.022222222222222223,2.6158471666666663,2.6457619999999995,2.630804583333333,-0.16666666666666666,1.0,29.20385264395777,190.36764468417388,220.7816573944542,205.57465103931403,0.9537084761276271,1.131494651060037,1.042601563593832,2,-1.0,,
1.0,0.45555555555555555,0.45555555555555555,0.45555555555555555,0.45555555555555555,1.0,1.0,0.45555555555555555,0.45555555555555555,0.45555555555555555,0.45555555555555555,1.0,41,0.45555555555555555,2.579073666666666,2.7952801666666667,2.7185767154471545,1.0,-0.09756097560975607,292.36590751696417,198.8046486576963,368.0034262249607,289.8690423295191,-0.4634604458380944,1.3263149994602044,0.984573440423348,2,5.0,False,False
1.0,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,1.0,1.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.2857142857142857,14,0.15555555555555556,1.2744699999999995,2.7730839999999994,2.3607073484848486,-0.16666666666666666,-0.22386759581881532,5935.881472502076,341.273335090178,345.12268538083293,343.1980102355055,1.0962685620943322,2.531695185035376,1.7722889732916487,2,4.0,False,False
1.0,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,1.0,1.0,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.84,25,0.2777777777777778,2.3410593333333325,2.5320229999999992,2.399868739999999,-0.3333333333333333,-0.4285714285714286,496.00421729633354,114.66893075942812,1039.8965486793224,728.7955039158653,-0.32429283775681705,2.9023852317968037,1.08560353504866,2,2.0,False,False
1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,1.0,33,0.36666666666666664,2.279007,2.381587,2.3513569090909088,-0.16666666666666666,0.0,348.6659832647255,108.4483450185418,659.8809361081549,263.10079876895355,-20.314484736091014,2.959531780782984,0.325306730480856,2,1.0,False,False
1.0,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.9222222222222223,1.0,1.0,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.9222222222222223,1.0,83,0.9222222222222223,2.300786333333333,2.486244,2.407562546184739,0.16666666666666666,0.0,509.1805043661033,131.48298001716157,927.8121065118922,758.8856345820177,-4.876072474913901,2.9113229567011087,1.2981907496265224,2,2.0,False,False
1.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,1.0,1.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,1.0,86,0.9555555555555556,2.3180796666666663,2.454930333333333,2.408254399224805,-0.16666666666666666,0.0,348.0352459436551,553.5962748370571,1124.921731961575,967.0273542190727,-3.073855295362123,2.0331291035364814,1.0866829379762015,2,1.0,False,False
1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,87,0.9666666666666667,2.3860241666666666,2.546496,2.4162293773946364,0.16666666666666666,0.008620689655172431,731.8485390238288,28.972370810969856,1156.3367474796717,1084.3278187792089,-5.549109306180727,2.5747019351177847,0.7606525006846231,2,2.0,False,False
1.0,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.24444444444444444,1.0,1.0,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.24444444444444444,1.0,22,0.24444444444444444,2.509999666666666,2.5567549999999994,2.5435678257575756,-0.16666666666666666,0.24137931034482757,197.81444018900368,202.95119392931565,411.9464591855669,249.67249299560527,-0.7897923640810345,2.0184366886032468,1.6274818358040484,2,1.0,False,False
1.0,0.25555555555555554,0.25555555555555554,0.25555555555555554,0.25555555555555554,1.0,1.0,0.25555555555555554,0.25555555555555554,0.25555555555555554,0.25555555555555554,1.0,23,0.25555555555555554,2.391230166666666,2.518587833333333,2.470513789855072,0.3333333333333333,0.0,253.154936070963,124.9162868602528,458.7872077326485,395.97575072280756,1.2344832947161246,2.791599625486717,1.7806103383768332,2,3.0,False,False
