BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,Panel,IsDifficult,IsUnderStand
1.0,0.8,0.8,0.8,0.8,1.0,2.0,0.16666666666666666,0.45555555555555555,0.3111111111111111,0.6222222222222222,0.7777777777777778,72,0.8,3.6911136666665727,3.6911136666665727,3.6911136666665727,1446.0212502704665,,,,1.7984084470710924,1.7984084470710924,1.7984084470710924,2,-1,,
1.0,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,1.0,1.0,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.22857142857142856,35,0.3888888888888889,3.6489026666665714,3.97398883333324,3.73889224285705,557.2207685510518,0.22183165574458266,0.2502855705979885,0.23173401408978125,0.1911337584972883,1.7810618239686322,1.2043192513751557,2,5,False,False
1.0,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,1.0,1.0,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.5714285714285714,14,0.15555555555555556,3.507898999999908,3.6910806666665734,3.6275540357141933,157.7933391866363,0.13322408759511878,0.16549306656629165,0.1553435847600361,-1.1261667227090366,1.6162241392521706,1.1316496338908333,2,-1,,
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,0.0,,,,0.0,0.0,2,0.022222222222222223,3.4646731666665738,3.47997533333324,3.472324249999907,26.662589191036968,,,,0.42963483609228126,0.6905233944598088,0.560079115276045,2,3,False,False
1.0,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,1.0,0.0,,,,0.0,0.0,8,0.08888888888888889,3.2822369999999066,3.449689499999907,3.3728899999999062,271.74250423449314,,,,-0.7422045554101948,1.9413421510713111,0.7118019693720764,2,-1,,
1.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,1.0,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.16666666666666666,48,0.5333333333333333,3.4028519999999056,3.685412166666575,3.50743952083324,1285.9295526756484,0.2793530557754317,0.7076936921578034,0.4164190232565866,-0.5836421434451977,2.0010129532445258,1.2889313644998641,2,2,False,False
1.0,0.07777777777777778,0.07777777777777778,0.07777777777777778,0.07777777777777778,1.0,0.0,,,,0.0,0.0,7,0.07777777777777778,3.6448466666665738,3.766990666666575,3.7266373333332408,217.27665215723354,,,,0.9805609812897467,1.8367041992422677,1.3985981882636873,2,-1,,
1.0,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,1.0,1.0,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.32,25,0.2777777777777778,3.494878166666574,3.7147573333332407,3.5832193599999074,239.4116223313157,0.16745271566012687,0.1812511599928576,0.17186707503065737,0.6327020681380202,1.4060587571943859,1.0528187103658981,2,1,False,False
1.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,0.0,,,,0.0,0.0,3,0.03333333333333333,3.351081999999906,3.4978104999999062,3.436719388888795,182.81019916982268,,,,1.205952901240462,1.5330881297839811,1.3693783156141988,2,-1,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2,0.022222222222222223,1.8567581666665731,1.8567581666665731,1.8567581666665731,1673.523289517451,,,,1.7807471119493705,1.7807471119493705,1.7807471119493705,2,1,False,False
1.0,0.5777777777777777,0.5777777777777777,0.5777777777777777,0.5777777777777777,0.9122807017543859,2.0,0.17777777777777778,0.2,0.18888888888888888,0.37777777777777777,0.5964912280701754,57,0.6333333333333333,3.3982339999999045,3.642399999999904,3.5353290653593823,1343.2202678930205,0.0967787670774184,0.7142988075766175,0.23184232567900262,-173.31107571101657,1.9469562422458786,-2.9223765093264364,2,2,False,False
1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,0.0,,,,0.0,0.0,6,0.06666666666666667,3.5099868333332367,3.560417166666569,3.5333268611110142,125.63270208923088,,,,-6.236966840206589,1.3943650198257305,-0.9932804881607353,2,1,False,False
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,0.0,,,,0.0,0.0,2,0.022222222222222223,3.5177204999999034,3.519930499999904,3.518825499999904,7.436250808707325,,,,1.1664294686638208,1.1826620477397238,1.1745457582017722,2,-1,,
1.0,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,1.0,0.0,,,,0.0,0.0,8,0.08888888888888889,3.5103708333332366,3.5409138333332346,3.5247090208332357,75.14993749808228,,,,-0.937521534302411,1.4627938715249167,0.6488989756978124,2,1,False,False
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,0.0,,,,0.0,0.0,2,0.022222222222222223,3.5359751666665686,3.5633316666665693,3.549653416666569,33.50719701944643,,,,0.8964603478558919,1.4944788235877442,1.195469585721818,2,-1,,
1.0,0.3,0.3,0.3,0.3,1.0,1.0,0.2,0.2,0.2,0.2,0.6666666666666666,27,0.3,3.4609654999999018,3.5906881666665686,3.499591617283852,201.19246748138266,0.19974274491805166,0.2806461808142633,0.21943791912463229,-1.3741314648185838,1.2085335662405858,-0.10336680042095947,2,1,False,False
1.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,1.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.8,5,0.05555555555555555,3.4820709999999018,3.4955624999999024,3.4860220999999028,51.58864827140004,0.2787525617564025,0.2806461808142633,0.27922596652086773,-0.8325081877577416,0.3088391042371117,-0.0909929986779919,2,-1,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1,0.011111111111111112,3.5034359999999025,3.5034359999999025,3.5034359999999025,0.0,,,,1.7674224989295118,1.7674224989295118,1.7674224989295118,2,1,False,False
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,0.0,,,,0.0,0.0,2,0.022222222222222223,3.5082246666665693,3.5162813333332354,3.5122529999999026,15.552753025107833,,,,1.475989766908019,1.7539669481052629,1.614978357506641,2,-1,,
1.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,1.0,0.0,,,,0.0,0.0,4,0.044444444444444446,3.5502396666665685,3.6053823333332353,3.5836537499999017,47.40815727787264,,,,-0.7937646274281906,1.7190118873743256,-0.16322628997416666,2,1,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1,0.011111111111111112,3.6155219999999018,3.6155219999999018,3.6155219999999018,0.0,,,,-0.10354328679987557,-0.10354328679987557,-0.10354328679987557,2,-1,,
1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,0.0,,,,0.0,0.0,6,0.06666666666666667,3.673716333333235,3.7199833333332366,3.699924416666569,44.344800706239646,,,,-0.10354328679987557,1.4209765427786092,0.8256413184221301,2,1,False,False
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,0.0,,,,0.0,0.0,2,0.022222222222222223,3.745551999999902,3.761998333333235,3.7537751666665686,18.606608458555804,,,,-1.9991765220397641,1.1534326615179396,-0.4228719302609123,2,-1,,
1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,0.0,,,,0.0,0.0,6,0.06666666666666667,3.778444666666569,3.8127391666665673,3.798425388888791,11.879300000000057,,,,-0.8651148514835518,1.496712826620354,-0.24877062523411375,2,1,False,False
