BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,Panel_Move,Tile_Move,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,Panel,IsDifficult,IsUnderStand
1.0,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.37777777777777777,1.0,1.0,0.3111111111111111,0.3111111111111111,0.3111111111111111,0.3111111111111111,0.8235294117647058,34,0.37777777777777777,3.0266773333333337,3.089029833333333,3.0612266666666668,-0.16666666666666666,1.0,1236.838128721592,,,,-2.3189073881208477,1.200354138439684,-1.1458202126006705,2,-1.0,,
1.0,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,1.0,0.0,,,,0.0,0.0,21,0.23333333333333334,2.975580833333334,3.351493833333333,3.090398436507936,0.6666666666666666,-0.5,1262.5675643119987,,,,-5.578133065796354,2.0281274087404153,0.5285393774087912,2,3.0,False,False
1.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.0,,,,0.0,0.0,40,0.4444444444444444,2.8249766666666667,3.0127970000000004,2.914577054166667,-0.3333333333333333,-0.25,820.8516608510268,,,,-0.834921864056267,1.6136634280580413,0.7029677855137938,2,1.0,False,False
1.0,0.1,0.1,0.1,0.1,1.0,1.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.4444444444444444,9,0.1,2.908050833333333,3.006325,2.970966555555555,0.16666666666666666,0.0,46.03231097992557,373.938601922449,407.26577273152606,392.5632342957809,-239.74669574029556,1.311124211330186,-25.85358170419555,2,2.0,False,False
1.0,2.811111111111111,2.811111111111111,2.811111111111111,2.811111111111111,1.0,5.0,0.05555555555555555,1.1777777777777778,0.4177777777777778,2.088888888888889,0.7430830039525692,253,2.811111111111111,2.6775741666666666,3.06088,2.8864750777338615,-0.16666666666666666,0.018774703557312256,2302.8648612128636,91.81983657887416,768.0277368870303,565.6699037574289,-41.2205575808799,2.1401958611740692,0.8278961041101551,2,1.0,False,False
1.0,0.2,0.2,0.2,0.2,1.0,1.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.6666666666666666,18,0.2,2.714108833333333,2.9049735,2.7964885555555554,0.16666666666666666,0.02289196310935443,590.6463233403948,258.0647826778405,327.7463235423345,284.92003781138715,-1.1077599136905119,1.7811522261501422,0.5082823007137995,2,2.0,False,False
1.0,0.45555555555555555,0.45555555555555555,0.45555555555555555,0.45555555555555555,1.0,0.0,,,,0.0,0.0,41,0.45555555555555555,2.6208088333333337,2.933436166666666,2.7771155731707315,0.16666666666666666,0.1961382113821138,863.0200300964062,,,,-0.5078255076027953,2.004986787781218,1.1359788015557912,2,3.0,False,False
1.0,1.2444444444444445,1.2444444444444445,1.2444444444444445,1.2444444444444445,1.0,2.0,0.12222222222222222,0.2222222222222222,0.17222222222222222,0.34444444444444444,0.2767857142857143,112,1.2444444444444445,2.6795858333333338,2.9718396666666664,2.8172919821428573,-0.16666666666666666,-0.22441202090592333,1725.3663009962418,55.139065129380896,64.96910995929872,62.01776239650315,-2.1163378138289572,2.0438350856176912,1.059035772883975,2,2.0,False,False
1.0,0.32222222222222224,0.32222222222222224,0.32222222222222224,0.32222222222222224,1.0,1.0,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.27586206896551724,29,0.32222222222222224,2.756177333333333,2.92778,2.8585580747126436,0.3333333333333333,0.45212438423645324,435.2851324130496,71.52701662583763,78.81784060014,73.63263081250057,-4.843318692737192,1.6798508344909333,0.6232552192364823,2,4.0,False,False
1.0,0.4,0.4,0.4,0.4,1.0,1.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.1111111111111111,36,0.4,2.53478,2.8880105,2.7057257268518513,-0.3333333333333333,-0.38218390804597707,788.4008761564621,124.03867967855702,170.20688621204107,139.42808185638503,0.4073623949475582,2.0035561013033636,1.3735728316234708,2,2.0,False,False
