BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,Panel,IsDifficult,IsUnderStand
1.0,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.37777777777777777,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8823529411764706,34,0.37777777777777777,3.0859603333333254,3.1482849999999925,3.119522124999992,1740.3192250171305,0.17778406537632988,0.17778406537632988,0.17778406537632988,-0.38880254832077643,1.269231215389806,0.14005889409497307,2,-1,,
1.0,0.3,0.3,0.3,0.3,1.0,0.0,,,,0.0,0.0,27,0.3,2.5284549999999917,3.160848333333325,2.8306342222222134,287.84159657037947,,,,-40.95657156689502,2.22428657905811,-0.21949952588256355,2,5,False,False
1.0,0.1,0.1,0.1,0.1,1.0,1.0,0.07777777777777778,0.07777777777777778,0.07777777777777778,0.07777777777777778,0.7777777777777778,9,0.1,2.4553706666666577,2.539947499999992,2.478623314814806,74.37525428000441,0.2509680101260596,0.3021964229202884,0.286050538475971,1.5149031600466816,2.1623689515080393,1.827214446729585,2,6,False,False
1.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,1.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,3,0.03333333333333333,2.4425554999999908,2.4533841666666576,2.447776555555546,23.37569553010349,0.20332047448225232,0.2509680101260596,0.23508549824479053,1.4322193783898913,1.6506503724560169,1.5050787097452665,2,-1,,
1.0,0.1,0.1,0.1,0.1,1.0,1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.6666666666666666,9,0.1,2.37331899999999,2.435984333333325,2.4137290925925843,652.1254534623969,0.153611490012602,0.5696409318306278,0.23951939180548973,1.438376861510883,2.2865525950154337,1.836917342835677,2,5,False,False
1.0,0.07777777777777778,0.07777777777777778,0.07777777777777778,0.07777777777777778,1.0,0.0,,,,0.0,0.0,7,0.07777777777777778,2.375246499999992,2.4628776666666576,2.428173880952372,85.3583243740253,,,,0.8112616991231025,2.391517766124497,1.4800357593088034,2,2,False,False
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,0.0,,,,0.0,0.0,2,0.022222222222222223,2.367273833333325,2.3823216666666585,2.374797749999992,25.748375838961177,,,,1.0378021125141168,1.1751931322391171,1.106497622376617,2,-1,,
1.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,0.0,,,,0.0,0.0,3,0.03333333333333333,2.3717701666666584,2.383438166666658,2.3776041666666585,16.140855582728584,,,,0.8854140623977464,1.5395400456993622,1.1542520735370752,2,2,False,False
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,0.0,,,,0.0,0.0,2,0.022222222222222223,2.362604833333325,2.3664449999999917,2.3645249166666584,54.53029303852036,,,,1.5395400456993622,1.7012469923031794,1.6203935190012708,2,-1,,
1.0,0.3111111111111111,0.3111111111111111,0.3111111111111111,0.3111111111111111,1.0,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.35714285714285715,28,0.3111111111111111,2.3233489999999937,2.387601333333325,2.3499036666666595,666.9948143874021,0.09983554225691443,0.2358005527094523,0.13725079908173432,0.5085034103638035,2.488639356257408,1.501638949593594,2,2,False,False
