BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,Panel_Move,Tile_Move,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,Panel,IsDifficult,IsUnderStand
1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,1.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,1.0,2,0.022222222222222223,3.471697666666666,3.507337,3.489517333333333,-0.16666666666666666,1.0,156.55236317120864,174.41711944207395,1134.2216766230297,654.3193980325518,-0.5936231357870274,0.29092738120032835,-0.15134787729334953,2,-1.0,,
1.0,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.5111111111111111,1.0,1.0,0.4222222222222222,0.4222222222222222,0.4222222222222222,0.4222222222222222,0.8260869565217391,46,0.5111111111111111,2.8946761666666667,3.4322889999999995,3.2274864166666677,1.0,-0.05434782608695654,1116.1146764989762,80.68290796796082,175.99109501408628,153.26942781713694,-13.561181855057155,1.8744283894551008,-0.2573343915927216,2,5.0,False,False
2.0,0.5,0.6666666666666666,0.5833333333333334,1.1666666666666667,0.9130434782608695,5.0,0.08888888888888889,0.17777777777777778,0.11333333333333333,0.5666666666666667,0.4434782608695652,115,1.2777777777777777,1.6204528333333337,3.264958666666667,3.0040870488215496,-0.6666666666666666,-0.6239130434782609,10902.253535633381,1.0136549250431925e-07,531.3515633963076,331.6299387535618,-5.979855436376024,2.1107283309261056,-0.13867794687840854,2,1.0,False,False
1.0,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.5111111111111111,1.0,1.0,0.4777777777777778,0.4777777777777778,0.4777777777777778,0.4777777777777778,0.9347826086956522,46,0.5111111111111111,2.872281333333333,2.993721166666667,2.944075003623189,0.16666666666666666,-0.07173913043478258,450.17696972391417,121.34662288520693,532.1860733068268,438.4516007720477,-13.654416077110291,1.6771417120941474,-0.4514851716011579,2,2.0,False,False
1.0,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.5111111111111111,1.0,1.0,0.4777777777777778,0.4777777777777778,0.4777777777777778,0.4777777777777778,0.9347826086956522,46,0.5111111111111111,2.872281333333333,2.993721166666667,2.944075003623189,0.16666666666666666,-0.07173913043478258,450.17696972391417,121.34662288520693,532.1860733068268,438.4516007720477,-13.654416077110291,1.6771417120941474,-0.4514851716011579,2,2.0,False,False
1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,1.0,1.0,0.32222222222222224,0.32222222222222224,0.32222222222222224,0.32222222222222224,0.7435897435897437,39,0.43333333333333335,3.018921,3.198059166666667,3.107355337606838,-0.16666666666666666,0.0,478.849782169619,404.38426116280425,489.3722829252168,444.24954184077353,-1.667198625641118,1.1830289217758159,0.21322678100289935,2,1.0,False,False
1.0,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.24444444444444444,1.0,1.0,0.2,0.2,0.2,0.2,0.8181818181818182,22,0.24444444444444444,3.143114666666667,3.209126833333333,3.1635811515151517,0.16666666666666666,0.022727272727272707,576.3317019487171,206.4525300831704,333.8499099458862,269.49836270926136,-5.035671967522976,1.9331334580709993,0.041690959493273685,2,2.0,False,False
1.0,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.24444444444444444,1.0,1.0,0.2,0.2,0.2,0.2,0.8181818181818182,22,0.24444444444444444,3.143114666666667,3.209126833333333,3.1635811515151517,0.16666666666666666,0.022727272727272707,576.3317019487171,206.4525300831704,333.8499099458862,269.49836270926136,-5.035671967522976,1.9331334580709993,0.041690959493273685,2,2.0,False,False
2.0,0.6444444444444445,1.1,0.8722222222222222,1.7444444444444445,0.9457831325301205,2.0,0.2111111111111111,0.7333333333333333,0.4722222222222222,0.9444444444444444,0.5120481927710844,166,1.8444444444444446,0.9304733333333332,3.2776921666666663,3.0470615566239303,0.16666666666666666,0.22426067907995623,4508.091828247743,444.53127961361406,523.4431788221827,488.1808038571114,-40.719690694713115,1.9397372558527932,-0.4068092838149278,2,3.0,False,False
1.0,1.1777777777777778,1.1777777777777778,1.1777777777777778,1.1777777777777778,1.0,1.0,1.1777777777777778,1.1777777777777778,1.1777777777777778,1.1777777777777778,1.0,106,1.1777777777777778,2.8378118333333333,3.089401,2.950562146226415,-0.16666666666666666,-0.15028983859968176,244.678654640812,740.9694606566701,818.1682670870601,786.9109562791317,-66.54755572512592,1.4418519992059027,-0.9230522983623631,2,2.0,False,False
