BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,PanelUpperTriangul,PanelUnderTriangul,PanelCorrectOrder,TileUpperTriangul,TileUnderTriangul,TileCorrectOrder,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,IsDifficult
4.0,5.022222222222222,11.144444444444444,8.097222222222221,32.388888888888886,0.9931856899488927,8.0,0.5,6.022222222222222,3.9916666666666667,31.933333333333334,0.9792163543441227,2.1666666666666665,2.0,1.6666666666666667,2.25,2.25,1.5,2935,32.611111111111114,1.2744699999999995,2.7952801666666667,2.3597029663071227,25393.410169397033,28.972370810969856,2781.1884612740428,1520.8671826385603,-70.85927693721464,2.959531780782984,0.9611700328939992,2,False
6.0,2.2444444444444445,22.18888888888889,10.235185185185184,61.41111111111111,0.9935286715800827,15.0,0.14444444444444443,13.488888888888889,4.0125925925925925,60.18888888888889,0.9737551680747798,0.75,0.5,0.75,1.75,1.75,0.5,5563,61.81111111111111,2.0959346666666665,2.6453526666666662,2.365872118042982,30975.971680166134,3.6982506628779377,4616.443335585315,2622.482433900262,-1224.4730907219375,3.1223691684949215,0.5756997152306879,3,False
2.0,9.155555555555555,27.666666666666668,18.41111111111111,36.82222222222222,0.9975918121613486,5.0,1.5888888888888888,15.355555555555556,7.291111111111111,36.455555555555556,0.9876580373269115,1.0,0.4,1.0,2.0,1.5,1.75,3322,36.91111111111111,1.9983855,2.646469,2.3381407561122813,19559.668978521822,25.35278919255674,3008.7709696854613,2025.6246761579016,-82.79576903684764,3.113188865067148,0.8720021957621258,4,False
2.0,4.7,16.477777777777778,10.588888888888889,21.177777777777777,0.993225638353309,9.0,0.15555555555555556,12.38888888888889,2.28641975308642,20.57777777777778,0.9650859822824389,1.25,0.75,0.75,4.0,3.75,3.5,1919,21.322222222222223,1.7044373333333327,2.6884816666666658,2.4306858478565134,19379.99076401397,56.2051033246148,2376.0582498200874,1086.0342511741346,-131.457589025567,3.1005188763491507,1.0940107133232069,6,False
2.0,20.92222222222222,24.155555555555555,22.538888888888888,45.077777777777776,0.9985232586758552,8.0,0.07777777777777778,18.122222222222224,5.561111111111111,44.48888888888889,0.9854787103125769,0.8333333333333334,0.5,0.5,4.0,4.0,2.5,4063,45.144444444444446,2.0935311666666663,2.745127333333333,2.402685089544257,26741.06277495049,28.336969003857696,5467.35985487664,2883.8925583971145,-165.76960686013248,3.1615365782517637,0.9328316440494361,7,False
3.0,8.644444444444444,18.066666666666666,13.28148148148148,39.84444444444444,0.9950055493895672,14.0,0.1111111111111111,10.366666666666667,2.7746031746031745,38.84444444444444,0.9700332963374028,0.75,0.5,0.75,1.5,1.5,1.0,3604,40.044444444444444,2.1515350000000004,2.6557973333333336,2.379356973612286,35714.24144254139,13.462777944966597,4115.297311897247,2294.310721543629,-979.288416219825,3.0695017152407753,0.7103906440537887,8,False
1.0,28.877777777777776,28.877777777777776,28.877777777777776,28.877777777777776,1.0,9.0,0.24444444444444444,10.977777777777778,3.1148148148148147,28.033333333333335,0.9707579838399384,0.8,0.4,0.6,1.0,1.0,1.0,2599,28.877777777777776,1.980189,2.6738105,2.462001668020633,23019.824417080126,33.556264338330635,3614.967669587016,1779.3306650889303,-1398.0197719076978,3.281833311873018,0.8223730895747665,9,False
9.0,0.4888888888888889,9.911111111111111,5.974074074074074,53.766666666666666,0.9879542670477746,16.0,0.3,8.022222222222222,3.2895833333333333,52.63333333333333,0.9671294405879951,1.2,0.6,1.2,2.5,2.75,2.25,4898,54.422222222222224,1.6706365,2.7242356666666665,2.3860430490999502,49753.25326906459,82.39503294819025,4346.796301561582,2386.002280187984,-6108.505805053935,3.2810812729388954,-0.1155731899644566,10,False
9.0,0.9777777777777777,8.988888888888889,3.549382716049383,31.944444444444443,0.9768943255181787,17.0,0.14444444444444443,7.066666666666666,1.8202614379084967,30.944444444444443,0.946313285762827,1.0,0.6,0.6,2.25,2.25,1.75,2943,32.7,1.416839666666667,2.7026288333333333,2.401746470723916,70011.89073967605,0.3250694003703934,3815.968145784773,2152.8560156037965,-1405.2334107010436,3.212118819102302,0.9640656479137732,11,False
14.0,0.6666666666666666,21.788888888888888,4.715873015873016,66.02222222222223,0.979719703215169,25.0,0.24444444444444444,7.533333333333333,2.574222222222222,64.35555555555555,0.9549876339653751,1.0,0.5714285714285714,1.0,3.5,3.25,3.0,6065,67.38888888888889,1.5633824999999997,2.7891413333333333,2.3961296305329567,97014.1560029654,25.82872348327072,4562.601587736953,2366.815010287635,-269.6733242985271,3.193359094263979,1.1037155109666656,12,False
5.0,0.4444444444444444,12.055555555555555,7.380000000000001,36.9,0.9898658718330849,7.0,0.23333333333333334,8.355555555555556,5.182539682539683,36.27777777777778,0.9731743666169895,0.8333333333333334,0.16666666666666666,0.8333333333333334,3.0,2.75,3.0,3355,37.27777777777778,1.9288481666666664,2.791005333333333,2.4108450807805104,39387.68792793556,2.1241148207540896,3938.584386891664,2081.135647513019,-303.3249609491533,3.2601306069140366,1.017289368972468,13,False
4.0,1.288888888888889,34.48888888888889,12.027777777777779,48.111111111111114,0.9949448529411765,13.0,0.03333333333333333,8.955555555555556,3.635897435897436,47.266666666666666,0.9774816176470589,0.75,0.75,0.75,1.75,1.5,1.5,4352,48.355555555555554,1.5922443333333334,2.702596166666666,2.3330302975135955,48353.87513985076,86.89776601794922,3284.1497276389355,1663.545277058629,-185.60025016222286,3.1111210906782567,1.035982558467074,14,True
5.0,0.4444444444444444,25.11111111111111,10.348888888888888,51.74444444444445,0.9940234791889008,14.0,0.05555555555555555,22.11111111111111,3.604761904761905,50.46666666666667,0.9694770544290288,1.2,0.8,1.2,2.25,2.0,2.25,4685,52.05555555555556,1.9360301666666664,2.7747241666666667,2.3891820613693686,47694.14503921575,58.10696861380534,5142.937108641493,2487.2274639595107,-1595.789424845625,3.213858491163675,0.7711663848722055,15,True
5.0,2.1777777777777776,17.755555555555556,8.113333333333333,40.56666666666667,0.9918500407497962,17.0,0.1111111111111111,12.522222222222222,2.3196078431372547,39.43333333333333,0.9641401792991033,1.0,0.75,1.0,1.0,0.75,0.75,3681,40.9,1.4057411666666664,2.8785984999999994,2.382967019367009,56593.80959781725,60.265232255375935,3236.003402387408,1975.9379976373007,-570.6269404835012,3.1496089096777826,1.0194430906197924,16,True
7.0,0.4888888888888889,36.422222222222224,10.204761904761906,71.43333333333334,0.992435937017598,13.0,0.12222222222222222,15.322222222222223,5.425641025641026,70.53333333333333,0.9799320778017907,1.0,0.6,0.8,3.5,3.75,1.5,6478,71.97777777777777,1.7222619999999995,3.1739246666666667,2.3772077072205775,77527.45284878158,138.81326850922244,4004.0676851300577,2159.5719962939365,-296.08005717788257,3.2432042607251454,1.4305462755938607,17,True
5.0,1.6555555555555554,22.744444444444444,11.655555555555555,58.27777777777778,0.9941243366186505,17.0,0.1111111111111111,9.977777777777778,3.34640522875817,56.888888888888886,0.9704321455648218,1.0,0.6666666666666666,1.0,4.5,4.25,2.0,5276,58.62222222222222,2.1083501666666664,3.026128166666666,2.3793436372322083,70017.32846565306,43.143023094661984,3211.819248312473,1653.5014713820572,-395.2639915905521,3.2614855828840286,1.026006255744901,18,False
18.0,0.5444444444444444,8.655555555555555,2.2253086419753085,40.05555555555556,0.9644194756554307,23.0,0.2222222222222222,8.644444444444444,1.6797101449275362,38.63333333333333,0.9301765650080257,0.6666666666666666,0.5,0.3333333333333333,3.5,3.5,1.5,3738,41.53333333333333,1.6367366666666665,2.9019395,2.5776643544418913,106869.03949890335,16.287805056825043,4256.802473577469,2112.5788705342275,-686.0875750176212,3.157691165891281,0.482745632071808,22,False
15.0,0.28888888888888886,7.277777777777778,2.4985185185185186,37.477777777777774,0.9604214123006833,20.0,0.17777777777777778,7.222222222222222,1.7933333333333334,35.86666666666667,0.9191343963553531,1.0,0.5,0.6666666666666666,3.75,3.5,2.25,3512,39.022222222222226,0.9624353333333332,2.893343666666666,2.6026860086795014,96803.38123297258,11.810877526418096,4145.898707877809,2071.370776326457,-335.1836628990873,3.2643000538000835,0.684926851350591,23,False
20.0,0.2111111111111111,17.255555555555556,3.0688888888888886,61.37777777777778,0.9675950253984936,23.0,0.17777777777777778,13.9,2.6096618357487924,60.022222222222226,0.9462252583639867,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.75,1.75,0.5,5709,63.43333333333333,1.185722333333333,3.2331746666666668,2.5862916798532836,134867.20306312002,97.33030391823614,6808.606739191642,3047.421079678934,-74.05930168392545,3.299750050832267,1.1940539215876378,24,False
15.0,0.044444444444444446,10.666666666666666,2.631111111111111,39.46666666666667,0.9563812600969306,22.0,0.08888888888888889,7.9,1.6893939393939392,37.166666666666664,0.9006462035541195,1.0,0.7142857142857143,1.0,2.25,2.5,0.75,3714,41.266666666666666,1.3752490000000002,3.178921833333334,2.6438922936983182,113351.31679792592,39.93945146070416,3766.953383564021,2033.9700236189929,-532.9265322363589,3.3369334490183302,0.9760437207889655,25,True
12.0,0.3,13.622222222222222,3.088888888888889,37.06666666666667,0.9669565217391304,15.0,0.23333333333333334,10.933333333333334,2.392592592592593,35.888888888888886,0.9362318840579709,1.0,0.8,0.8,2.5,2.25,1.0,3450,38.333333333333336,1.6828331666666665,2.8118540000000003,2.492735192583615,80024.03847586518,38.76106589139727,3042.319432349997,1530.462845912428,-132.42484488572137,3.2788768748117296,1.1156963095577925,26,True
18.0,0.1111111111111111,13.955555555555556,2.6246913580246916,47.24444444444445,0.9615558570782451,26.0,0.022222222222222223,11.755555555555556,1.741880341880342,45.28888888888889,0.9217548620533695,1.4,1.0,1.2,3.25,2.75,1.5,4422,49.13333333333333,1.2628096666666668,3.0552646666666665,2.5250833724069714,113482.01199807908,3.553296574041504,4194.839977373899,1990.9549019440883,-5615.0395497535565,3.2467309356381437,-0.6771448333060118,27,True
9.0,0.2,8.644444444444444,2.8765432098765435,25.88888888888889,0.961617829137433,13.0,0.14444444444444443,5.611111111111111,1.882051282051282,24.466666666666665,0.9087907552620718,1.0,0.5,1.0,1.5,1.0,1.25,2423,26.92222222222222,1.206726,2.9734320000000003,2.510463428571421,69418.2963413038,152.1383747678538,3319.177732829637,1536.5095892743204,-15.592958995879789,3.1857854352905464,1.205185308044143,28,False
16.0,0.12222222222222222,9.588888888888889,2.6395833333333334,42.233333333333334,0.9627659574468085,28.0,0.13333333333333333,6.177777777777778,1.4246031746031746,39.888888888888886,0.909321175278622,0.5,0.5,0.5,3.25,3.25,2.75,3948,43.86666666666667,1.0873056666666674,2.7539165000000003,2.4312118455596736,104894.79478936223,60.83642270159292,4089.784260525791,1944.6389557455223,-48.17058265443763,3.1542000214966444,1.1544887105324375,30,True
11.0,0.2222222222222222,6.677777777777778,2.2606060606060607,24.866666666666667,0.9439055250948967,15.0,0.14444444444444443,6.277777777777778,1.5644444444444445,23.466666666666665,0.8907633909742725,1.25,0.75,1.0,1.5,1.5,0.75,2371,26.344444444444445,1.0094095000000003,2.7756016666666667,2.4925123046684914,78230.55897263504,19.631270373740584,2742.946371224094,1661.2665208952376,-74.59153492230985,3.0955284041856723,1.2575079519755414,32,False
11.0,0.13333333333333333,10.022222222222222,2.82020202020202,31.022222222222222,0.9607708189951824,17.0,0.044444444444444446,6.222222222222222,1.74640522875817,29.68888888888889,0.9194769442532691,0.6,0.2,0.4,2.5,1.75,1.0,2906,32.28888888888889,1.2850926666666669,2.960823,2.649566978627599,111399.94556737927,0.0171031977208813,4850.263059847012,2130.547112980965,-96.06725744937131,3.287591928708877,1.5408588363686566,33,False
11.0,0.26666666666666666,7.266666666666667,2.506060606060606,27.566666666666666,0.9505747126436782,18.0,0.15555555555555556,3.888888888888889,1.4691358024691359,26.444444444444443,0.9118773946360154,0.8,0.4,0.8,2.5,2.25,2.0,2610,29.0,1.5046793333333337,3.0001450000000003,2.661383254151224,83398.70095644446,15.07505064170573,1909.877361301743,1020.6939791162471,-178.2198852236958,3.2308555161914208,1.4790477474111723,34,True
